"Organisation H-ID"	"Organisation Record Title"	"Short name / acronym"	"Full name of organisation"	"Alternative name(s)"	"Organisation type"	subtype	Country(ies)	"Logo or representative image"	"Logo or representative image ID"	"Logo or representative image Name"	"Logo or representative image Path"	"Short description"	"Start date"	"Start date (temporal)"	"End date"	"End date (temporal)"	Thumbnail	"Thumbnail (temporal)"	Location	"Short description"	"subordinateTo (Organisation) H-ID"	"subordinateTo (Organisation) Record Title"	"Contact details or URL"	"Location (mappable point)"	note	"Related files"	"Related files ID"	"Related files Name"	"Related files Path"	"CartulR Entity ID"	mediumId	indexReference	IndexFontenay
95057	"Ambronay, abbé et bourgeois"		"Ambronay, abbé et bourgeois"				France					"abbé et bourgeois"												"POINT(5.36273 46.00467)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e137455	
95058	"Bourges, officialité"		"Bourges , officialité"				France																	"POINT(2.4 47.08333)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e166658	
95059	"Bourges, prévôté"		"Bourges , prévôté"				France																	"POINT(2.4 47.08333)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e166670	
95060	"Bourges, province ecclésiastique"		"Bourges , province ecclésiastique"	"Bituricensis provincia"			France																	"POINT(2.4 47.08333)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e166683	
95062	"Bourgogne, comté (de)"		"Bourgogne, comté (de)"	Franche-Comté			France																	"POINT(6.0243622 47.2380222)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e166896|Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e166977|Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e166942|Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e167032|Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e166967|Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e166759	
95067	"Bourgogne, comté, connétablie"		"Bourgogne, comté, connétablie"				France																	"POINT(6.0243622 47.2380222)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e167020	
95071	"Bourgogne, comté, trésorerie du roi"		"Bourgogne, comté, trésorerie du roi"				France																	"POINT(6.0243622 47.2380222)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e167047	
95072	"Bourgogne (duché de)"		"Bourgogne (duché de)"				France																	"POINT(5.0414701 47.3215806)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e167062|Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e167077|Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e166734|Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e166867	
95077	"Bourgtheroulde, prévôté"		"Bourgtheroulde, prévôté"				France					prévôté												"POINT(0.88333 49.3)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e167179	
95078	"Bourgueil, abbaye"		"Bourgueil, abbaye"				France					abbaye												"POINT(0.16612 47.28333)"								Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e167194	
