"Place H-ID"	"Place Record Title"	"Place name"	"Additional (equivalent) names"	"Name chosen"	"Place type"	Country	"Code insee"	Department	Arrondissement	Canton	Town	"Municipality (record pointer) (Place) H-ID"	"Municipality (record pointer) (Place) Record Title"	County	Province	"Location (mappable)"	"Locational certainty"	"Index Reference"	Note	"GeoNames ID"	"DicoTopo ID"	"WikiData ID"	indexReference	IndexFontenay
99952	"Pontgouin (Eure-et-Loir, Courville)"	Pontgouin		Pontgouin		France	28302	Eure-et-Loir		Courville						"POINT(1.16006 48.48166)"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e338036	"Eure-et-Loir, con Courville"	2986183			Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e338036	
99953	"Ponthieu (Somme)"	Ponthieu		Ponthieu		France		Somme								"POINT(1.91667 50.16667)"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e338055	"ancien pays dans la Somme et le Pas-de-Calais, entre la Basse-Somme, la Nièvre inférieure, l'Authie moyenne et la Canche inférieure"	2986177			Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e338055	
99957	"Bazoménil (Seine-Maritime, Bellencombre)"	Bazoménil	Aumesnil	Sévis		France	76034	Seine-Maritime		Bellencombre		319529	"Sévis (Seine-Maritime, Bellencombre)"			"POINT(1.1626388 49.7048547)"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e151572	"Seine-Maritime, con Bellencombre, cne Sévis"	2974683			Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e151572	
99959	"Pont-l'Abbé (Manche, Sainte-Mère-Église)"	Pont-l'Abbé		Picauville		France	50400	Manche		Sainte-Mère-Église						"POINT(-1.4175 49.37972)"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e338131	"Manche, con Sainte-Mère-Église, cne Picauville"	6435529			Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e338131	
99960	"Pont-l'Évêque (Calvados, Lisieux)"	Pont-l'Évêque		Pont-l'Évêque		France	14514	Calvados	Lisieux							"POINT(0.19161 49.28912)"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e338146	"Calvados, ar. Lisieux"	2986151			Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e338146	
99961	"Pont-l'Évêque (Oise, Noyon)"	Pont-l'Évêque		Pont-l'Évêque		France	60506	Oise		Noyon						"POINT(2.98879 49.56388)"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e338167	"Oise, con Noyon"	2986150			Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e338167	
99962	"Pontoise (Seine-et-Oise)"	Pontoise		Pontoise		France	95500	Seine-et-Oise								"POINT(2.1 49.05)"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e338195	Seine-et-Oise	2986140			Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e338195	
99963	"Pontoise, — actes passés à Pontoise (Seine-et-Oise)"	"Pontoise , — actes passés à Pontoise"		Pontoise		France	95500	Seine-et-Oise								"POINT(2.1 49.05)"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e338219		2986140			Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e338219	
99968	"Bazus (Haute-Garonne, Montastruc-la-Conseillère)"	Bazus		Bazus		France	31049	Haute-Garonne		Montastruc-la-Conseillère						"POINT(1.51631 43.73555)"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e151583	"Haute-Garonne, con Montastruc-la-Conseillère"	3034408			Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e151583	
99969	"Pontoise, — fossé (Seine-et-Oise)"	"Pontoise , — fossé"		Pontoise		France	95500	Seine-et-Oise								"POINT(2.1 49.05)"		Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e338699		2986140			Paris_AN_JJ_inventaire_JJ37-50_index.xlsx#d1e338699	
